Mass ID, Method, Max Punzi
1, LD, 8.674705e-03
1, MLP, 1.236807e-02
1, MLPBNN, 8.712381e-03
1, DNN_CPU, 8.702175e-03
1, BDTG, 1.030394e-02
1, BDTB, 7.663356e-03
1, BDTD, 1.260503e-02
1, BDTF, 1.202782e-02
2, LD, 5.399568e-03
2, MLP, 7.802682e-03
2, MLPBNN, 5.454905e-03
2, DNN_CPU, 5.437079e-03
2, BDTG, 6.448044e-03
2, BDTB, 4.759493e-03
2, BDTD, 7.955556e-03
2, BDTF, 7.721791e-03
3, LD, 5.768213e-03
3, MLP, 8.318025e-03
3, MLPBNN, 5.823474e-03
3, DNN_CPU, 5.805822e-03
3, BDTG, 6.884120e-03
3, BDTB, 5.085706e-03
3, BDTD, 8.485369e-03
3, BDTF, 8.218780e-03
4, LD, 8.212599e-03
4, MLP, 1.172524e-02
4, MLPBNN, 8.255077e-03
4, DNN_CPU, 8.242972e-03
4, BDTG, 9.762384e-03
4, BDTB, 7.252854e-03
4, BDTD, 1.195679e-02
4, BDTF, 1.143207e-02
