Mass ID, Method, Max Punzi
1, LD, 8.415550e-03
1, MLP, 1.287369e-02
1, MLPBNN, 9.262316e-03
1, DNN_CPU, 1.107307e-02
1, BDTG, 1.216693e-02
1, BDTB, 8.895040e-03
1, BDTD, 1.219502e-02
1, BDTF, 1.147563e-02
2, LD, 5.236522e-03
2, MLP, 8.124729e-03
2, MLPBNN, 5.813361e-03
2, DNN_CPU, 6.994116e-03
2, BDTG, 9.180000e-03
2, BDTB, 5.527312e-03
2, BDTD, 7.693239e-03
2, BDTF, 7.236166e-03
3, LD, 5.594243e-03
3, MLP, 8.665856e-03
3, MLPBNN, 6.204438e-03
3, DNN_CPU, 7.456837e-03
3, BDTG, 9.180000e-03
3, BDTB, 5.905807e-03
3, BDTD, 8.205672e-03
3, BDTF, 7.718869e-03
4, LD, 7.966877e-03
4, MLP, 1.221155e-02
4, MLPBNN, 8.779143e-03
4, DNN_CPU, 1.050048e-02
4, BDTG, 1.153067e-02
4, BDTB, 8.419176e-03
4, BDTD, 1.156612e-02
4, BDTF, 1.088409e-02
