Mass ID, Method, Max Punzi
1, LD, 8.659060e-03
1, MLP, 1.235899e-02
1, MLPBNN, 9.536023e-03
1, DNN_CPU, 1.150936e-02
1, BDTG, 1.235224e-02
1, BDTB, 8.847716e-03
1, BDTD, 1.257259e-02
1, BDTF, 1.210592e-02
2, LD, 5.388284e-03
2, MLP, 7.825009e-03
2, MLPBNN, 5.984050e-03
2, DNN_CPU, 7.218830e-03
2, BDTG, 1.224000e-02
2, BDTB, 5.497047e-03
2, BDTD, 7.948594e-03
2, BDTF, 7.686288e-03
3, LD, 5.756344e-03
3, MLP, 8.343108e-03
3, MLPBNN, 6.386673e-03
3, DNN_CPU, 7.705044e-03
3, BDTG, 1.224000e-02
3, BDTB, 5.873572e-03
3, BDTD, 8.476299e-03
3, BDTF, 8.192480e-03
4, LD, 8.197455e-03
4, MLP, 1.172852e-02
4, MLPBNN, 9.037596e-03
4, DNN_CPU, 1.090794e-02
4, BDTG, 1.224000e-02
4, BDTB, 8.374199e-03
4, BDTD, 1.192884e-02
4, BDTF, 1.149183e-02
