Mass ID, Method, Max Punzi
1, LD, 8.377440e-03
1, MLP, 1.267921e-02
1, MLPBNN, 9.131456e-03
1, DNN_CPU, 1.123318e-02
1, BDTG, 1.701000e-02
1, BDTB, 8.895040e-03
1, BDTD, 1.189661e-02
1, BDTF, 1.123594e-02
2, LD, 5.226367e-03
2, MLP, 8.023998e-03
2, MLPBNN, 5.696568e-03
2, DNN_CPU, 7.062459e-03
2, BDTG, 1.701000e-02
2, BDTB, 5.527312e-03
2, BDTD, 7.500669e-03
2, BDTF, 7.145625e-03
3, LD, 5.581761e-03
3, MLP, 8.555734e-03
3, MLPBNN, 6.083960e-03
3, DNN_CPU, 7.536097e-03
3, BDTG, 1.701000e-02
3, BDTB, 5.905807e-03
3, BDTD, 8.001132e-03
3, BDTF, 7.614792e-03
4, LD, 7.933704e-03
4, MLP, 1.203167e-02
4, MLPBNN, 8.647738e-03
4, DNN_CPU, 1.064975e-02
4, BDTG, 1.701000e-02
4, BDTB, 8.419176e-03
4, BDTD, 1.128317e-02
4, BDTF, 1.066857e-02
