Mass ID, Method, Max Punzi
1, LD, 1.058082e-02
1, MLP, 1.763488e-02
1, MLPBNN, 8.760304e-03
1, DNN_CPU, 1.168105e-02
1, BDTG, 1.244287e-02
1, BDTB, 8.847716e-03
1, BDTD, 1.620333e-02
1, BDTF, 1.598432e-02
2, LD, 6.595178e-03
2, MLP, 1.135405e-02
2, MLPBNN, 5.466417e-03
2, DNN_CPU, 7.363834e-03
2, BDTG, 7.877071e-03
2, BDTB, 5.497047e-03
2, BDTD, 1.032544e-02
2, BDTF, 1.048965e-02
3, LD, 7.044349e-03
3, MLP, 1.208249e-02
3, MLPBNN, 5.837991e-03
3, DNN_CPU, 7.855280e-03
3, BDTG, 8.398749e-03
3, BDTB, 5.873572e-03
3, BDTD, 1.100097e-02
3, BDTF, 1.113774e-02
4, LD, 1.001913e-02
4, MLP, 1.677409e-02
4, MLPBNN, 8.296544e-03
4, DNN_CPU, 1.107853e-02
4, BDTG, 1.180795e-02
4, BDTB, 8.374199e-03
4, BDTD, 1.539058e-02
4, BDTF, 1.524359e-02
